Created: 04-Feb-2009
 
 
Industry mapping for USA
 
Code  Code CHL      N                                                 Industry label USA                                                 Industry label CHL
  259     26     4060            Miscellaneous nonmetallic mineral product manufacturing                 Manufacture of other non-metallic mineral products
  267     27    15429               Iron and steel mills and steel product manufacturing                                          Common metals manufacture
  268     27     5020                                 Aluminum production and processing                                          Common metals manufacture
  269     27     3519       Nonferrous metal, except aluminum, production and processing                                          Common metals manufacture
  277     27     9068                                                          Foundries                                          Common metals manufacture
  278     27     5776                                       Metal forgings and stampings                                          Common metals manufacture
  279     28     3455                                Cutlery and hand tool manufacturing  Metal products manufacture, with the exception of machinery and e
  287     28    20510     Structural metals and tank and shipping container manufacturin  Metal products manufacture, with the exception of machinery and e
  288     28    18791     Machine shops, turned product, screw, nut, and bolt manufactur  Metal products manufacture, with the exception of machinery and e
  289     28     5311            Coating, engraving, heat treating and allied activities  Metal products manufacture, with the exception of machinery and e
  297     28     1508                                                           Ordnance  Metal products manufacture, with the exception of machinery and e
  298     28    16084              Miscellaneous fabricated metal products manufacturing  Metal products manufacture, with the exception of machinery and e
  307     29     5420                               Agricultural implement manufacturing                Machinery and equipment products manufacture N.E.C.
  308     29     6268          Construction mining and oil field machinery manufacturing                Machinery and equipment products manufacture N.E.C.
  309     29     6669            Commercial and service industry machinery manufacturing                Machinery and equipment products manufacture N.E.C.
  317     29    10668                               Metalworking machinery manufacturing                Machinery and equipment products manufacture N.E.C.
  318     29     4624     Engines, turbines, and power transmission equipment manufactur                Machinery and equipment products manufacture N.E.C.
  319     29    30140                                    Machinery manufacturing, n.e.c.                Machinery and equipment products manufacture N.E.C.
  329     29     1157                              Not specified machinery manufacturing                Machinery and equipment products manufacture N.E.C.
  336     30    17441                    Computer and peripheral equipment manufacturing  Manufacture of office, accounting, and information technology equ
  337     32    11607           Communications, audio, and video equipment manufacturing         Radio, television and communications equipment manufacture
  338     33    10561     Navigational, measuring, electromedical, and control instrumen  Manufacture of medical instruments, precision optics and watchmak
  339     31    40652             Electronic component and product manufacturing, n.e.c.                     Electrical equipment and appliance manufacture
  347     31     5627                                  Household appliance manufacturing                     Electrical equipment and appliance manufacture
  349     31    21307     Electrical lighting, equipment, and supplies manufacturing, n.                     Electrical equipment and appliance manufacture
  357     34    68065           Motor vehicles and motor vehicle equipment manufacturing              Manufacture of automobiles, trailers and semitrailers
  358     35    18548                                   Aircraft and parts manufacturing             Manufacture of other types of transportation equipment
  359     35     9684                          Aerospace product and parts manufacturing             Manufacture of other types of transportation equipment
  367     35     1774                               Railroad rolling stock manufacturing             Manufacture of other types of transportation equipment
  368     35     8470                                             Ship and boat building             Manufacture of other types of transportation equipment
  369     35     1689                       Other transportation equipment manufacturing             Manufacture of other types of transportation equipment
  389     36    33167                       Furniture and related products manufacturing             Furniture manufacture, manufacturing industries N.E.C.
  396     33    19098                       Medical equipment and supplies manufacturing  Manufacture of medical instruments, precision optics and watchmak
  407     50    11281                                 Motor vehicles, parts and supplies  Sales, maintenance and repair of automobiles and motorcycles, ret
  408     51     4289                                     Furniture and home furnishings  Wholesale sales and sales by commission, excluding automobile and
  409     51     8553                            Lumber and other construction materials  Wholesale sales and sales by commission, excluding automobile and
  417     51    16871                 Professional and commercial equipment and supplies  Wholesale sales and sales by commission, excluding automobile and
  418     51     3916                              Metals and minerals, except petroleum  Wholesale sales and sales by commission, excluding automobile and
  419     51    16013                                                   Electrical goods  Wholesale sales and sales by commission, excluding automobile and
  426     51     7776             Hardware, plumbing and heating equipment, and supplies  Wholesale sales and sales by commission, excluding automobile and
  427     51    24086                                 Machinery, equipment, and supplies  Wholesale sales and sales by commission, excluding automobile and
  428     51     5231                                                Recyclable material  Wholesale sales and sales by commission, excluding automobile and
  429     51     9035                                        Miscellaneous durable goods  Wholesale sales and sales by commission, excluding automobile and
  437     51     5045                                Paper and paper product wholesalers  Wholesale sales and sales by commission, excluding automobile and
  438     51     8601       Drugs, sundries, and chemical and allied product wholesalers  Wholesale sales and sales by commission, excluding automobile and
  439     51     5237                          Apparel, fabrics, and notions wholesalers  Wholesale sales and sales by commission, excluding automobile and
  447     51    36880                          Groceries and related product wholesalers  Wholesale sales and sales by commission, excluding automobile and
  448     51     2531                              Farm product raw material wholesalers  Wholesale sales and sales by commission, excluding automobile and
  449     51     7906                        Petroleum and petroleum product wholesalers  Wholesale sales and sales by commission, excluding automobile and
  456     51     5542                                     Alcoholic beverage wholesalers  Wholesale sales and sales by commission, excluding automobile and
  457     51     4603                                          Farm supplies wholesalers  Wholesale sales and sales by commission, excluding automobile and
  458     51     9408                         Miscellaneous nondurable goods wholesalers  Wholesale sales and sales by commission, excluding automobile and
  459     51    11727                                      Not specified wholesale trade  Wholesale sales and sales by commission, excluding automobile and
  467     50    50708                                                 Automobile dealers  Sales, maintenance and repair of automobiles and motorcycles, ret
  468     50     6527                                        Other motor vehicle dealers  Sales, maintenance and repair of automobiles and motorcycles, ret
  469     50    18428                           Auto parts, accessories, and tire stores  Sales, maintenance and repair of automobiles and motorcycles, ret
  477     52    25009                              Furniture and home furnishings stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  478     52     3680                                         Household appliance stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  479     52    29925                                     Radio, TV, and computer stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  487     52    34263                             Building material and supplies dealers  Retail sales, excluding sales of automobiles and motorcycles; rep
  488     52     7906                                                    Hardware stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  489     52     9714                      Lawn and garden equipment and supplies stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  497     52   103617                                                     Grocery stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  498     52     7547                                              Specialty food stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  499     52     4245                                      Beer, wine, and liquor stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  507     52    24107                                         Pharmacies and drug stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  508     52     9026                       Health and personal care, except drug stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  509     52    17042                                                  Gasoline stations  Retail sales, excluding sales of automobiles and motorcycles; rep
  517     52    20726                       Clothing and accessories, except shoe stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  518     52     4072                                                        Shoe stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  519     52     7031                         Jewelry, luggage, and leather goods stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  527     52    12242                   Sporting goods, camera, and hobby and toy stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  528     52     2237                          Sewing, needlework and piece goods stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  529     52     4319                                                       Music stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  537     52     5299                                       Book stores and news dealers  Retail sales, excluding sales of automobiles and motorcycles; rep
  538     52    80774                                                  Department stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  539     52     5129                           Miscellaneous general merchandise stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  547     52     7498                                                    Retail florists  Retail sales, excluding sales of automobiles and motorcycles; rep
  548     52     7193                              Office supplies and stationary stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  549     52     8305                                            Used merchandise stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  557     52     9339                                  Gift, novelty, and souvenir shops  Retail sales, excluding sales of automobiles and motorcycles; rep
  558     52    15268                                        Miscellaneous retail stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  559     52    11936                          Electronic shopping and mail-order houses  Retail sales, excluding sales of automobiles and motorcycles; rep
  567     52     2497                                          Vending machine operators  Retail sales, excluding sales of automobiles and motorcycles; rep
  568     52     3374                                                       Fuel dealers  Retail sales, excluding sales of automobiles and motorcycles; rep
  569     52     7780                                Other direct selling establishments  Retail sales, excluding sales of automobiles and motorcycles; rep
  579     52    18877                                         Not specified retail trade  Retail sales, excluding sales of automobiles and motorcycles; rep
  607     62    26861                                                 Air transportation                                                 Air transportation
  608     60    12587                                                Rail transportation                     Ground transportation, pipeline transportation
  609     61     2135                                               Water transportation                                               Water transportation
  617     60    82649                                               Truck transportation                     Ground transportation, pipeline transportation
  618     60    19447                                      Bus service and urban transit                     Ground transportation, pipeline transportation
  619     60     7188                                         Taxi and limousine service                     Ground transportation, pipeline transportation
  627     60     1434                                            Pipeline transportation                     Ground transportation, pipeline transportation
  628     60     1197                              Scenic and sightseeing transportation                     Ground transportation, pipeline transportation
  629     63    25555                              Services incidental to transportation  Complementary and auxiliary transportation activities, travel age
  637     64    41636                                                     Postal Service                              Postal service and telecommunications
  638     64    16921                                            Couriers and messengers                              Postal service and telecommunications
   57     40    31218           Electric power generation, transmission and distribution       Electrical, gas, steam and hot water supply and distribution
   58     40     6156                                           Natural gas distribution       Electrical, gas, steam and hot water supply and distribution
   59     40     2042                           Electric and gas, and other combinations       Electrical, gas, steam and hot water supply and distribution
   67     40    10113             Water, steam, air conditioning, and irrigation systems       Electrical, gas, steam and hot water supply and distribution
   68     41     3907                                        Sewage treatment facilities                    Water collection, purification and distribution
  647     92    21250                                               Newspaper publishers                      Entertainment, cultural and sports activities
  648     92    17091                         Publishing, except newspapers and software                      Entertainment, cultural and sports activities
  649     92     2430                                                Software publishing                      Entertainment, cultural and sports activities
  657     92    10113                               Motion pictures and video industries                      Entertainment, cultural and sports activities
  659     92     1519                                         Sound recording industries                      Entertainment, cultural and sports activities
  667     92    24214                        Radio and television broadcasting and cable                      Entertainment, cultural and sports activities
  668     64    39051                                  Wired telecommunications carriers                              Postal service and telecommunications
  669     64    16375                                   Other telecommunication services                              Postal service and telecommunications
  677     92     8982                                             Libraries and archives                      Entertainment, cultural and sports activities
  678     72    10482                                         Other information services                        Information services and related activities
  679     72     8319                                           Data processing services                        Information services and related activities
  687     65    78506                                     Banking and related activities  Financial intermediary services, excluding financing of insurance
  688     65     8496                      Savings institutions, including credit unions  Financial intermediary services, excluding financing of insurance
  689     65    33971                       Non-depository credit and related activities  Financial intermediary services, excluding financing of insurance
  697     65    44400     Securities, commodities, funds, trusts, and other financial in  Financial intermediary services, excluding financing of insurance
  699     66   103567                          Insurance carriers and related activities  Financing of insurance and pension plans, excluding those of mand
  707     70    81216                                                        Real estate                                             Real estate activities
  708     71     6684                            Automotive equipment rental and leasing  Rental of machinery and equipment without operators and of person
  717     71     3173                                         Video tape and disk rental  Rental of machinery and equipment without operators and of person
  718     71     4119                                        Other consumer goods rental  Rental of machinery and equipment without operators and of person
  719     71     3213     Commercial, industrial, and other intangible assets rental and  Rental of machinery and equipment without operators and of person
  738     72    49391                       Computer systems design and related services                        Information services and related activities
  746     73    18384                       Scientific research and development services                                           Research and development
  748     85     8541                                                Veterinary services                       Social services and health sector activities
  767     63    12395                       Travel arrangements and reservation services  Complementary and auxiliary transportation activities, travel age
  779     37    15399                          Waste management and remediation services                                                          Recycling
  786     80   337556                                   Elementary and secondary schools                                                          Education
  787     80    91141               Colleges and universities, including junior colleges                                                          Education
  788     80     4877                Business, technical, and trade schools and training                                                          Education
  789     85    11892               Other schools, instruction, and educational services                       Social services and health sector activities
  797     85    68508                                              Offices of physicians                       Social services and health sector activities
  798     85    28996                                                Offices of dentists                       Social services and health sector activities
  799     85     4808                                            Office of chiropractors                       Social services and health sector activities
  807     85     3673                                            Offices of optometrists                       Social services and health sector activities
  808     85    10926                              Offices of other health practitioners                       Social services and health sector activities
  809     85    23986                                            Outpatient care centers                       Social services and health sector activities
  817     85    26812                                          Home health care services                       Social services and health sector activities
  818     85    29240                                         Other health care services                       Social services and health sector activities
  819     85   218742                                                          Hospitals                       Social services and health sector activities
  827     85    71316                                            Nursing care facilities                       Social services and health sector activities
  829     85    20829                       Residential care facilities, without nursing                       Social services and health sector activities
  838     85     2349                 Community food and housing, and emergency services                       Social services and health sector activities
  839     85    10971                                 Vocational rehabilitation services                       Social services and health sector activities
  847     85    60606                                            Child day care services                       Social services and health sector activities
  856     92    22096     Independent artists, performing arts, spectator sports, and re                      Entertainment, cultural and sports activities
  857     92     6495     Museums, art galleries, historical sites, and similar institut                      Entertainment, cultural and sports activities
  858     92     2057                                                    Bowling centers                      Entertainment, cultural and sports activities
  859     92    55425               Other amusement, gambling, and recreation industries                      Entertainment, cultural and sports activities
  866     55    53919                                             Traveler accommodation                                             Hotels and restaurants
  867     55     2690     Recreational vehicle parks and camps, and rooming and boarding                                             Hotels and restaurants
  868     55   198674                                Restaurants and other food services                                             Hotels and restaurants
  869     55     8878                               Drinking places, alcoholic beverages                                             Hotels and restaurants
  877     50    60147                                  Automotive repair and maintenance  Sales, maintenance and repair of automobiles and motorcycles, ret
  929     95    24266                                                 Private households                          Private households with domestic servants
  937     75    17866                           Executive offices and legislative bodies  Public administration and defense, social security/insurance plan
  938     75    15033                                          Public finance activities  Public administration and defense, social security/insurance plan
  939     75    36963                               Other general government and support  Public administration and defense, social security/insurance plan
  947     75   112857                       Justice, public order, and safety activities  Public administration and defense, social security/insurance plan
  948     75    29479                          Administration of human resource programs  Public administration and defense, social security/insurance plan
  949     75    10877       Administration of environmental quality and housing programs  Public administration and defense, social security/insurance plan
  957     75    26784             Administration of economic programs and space research  Public administration and defense, social security/insurance plan
  959     75    25234                        National security and international affairs  Public administration and defense, social security/insurance plan
  967     75        0                                                          U.S. Army  Public administration and defense, social security/insurance plan
  968     75        0                                                     U.S. Air Force  Public administration and defense, social security/insurance plan
  969     75        0                                                          U.S. Navy  Public administration and defense, social security/insurance plan
  977     75        0                                                       U.S. Marines  Public administration and defense, social security/insurance plan
  978     75        0                                                   U.S. Coast Guard  Public administration and defense, social security/insurance plan
  979     75        0                            U.S. Armed Forces, branch not specified  Public administration and defense, social security/insurance plan
  987     75        0                                Military reserves or National Guard  Public administration and defense, social security/insurance plan
 
 
Industry mapping for ARG
 
Code  Code CHL      N                                                 Industry label ARG                                                 Industry label CHL
    1      1    46123  Agriculture, cattle ranching, hunting and related service activit     Agriculture, livestock, hunting and related service activities
    2      2     2041         Forestry, lumber extraction and related service activities           Forestry, wood extraction and related service activities
    5      5      804  Fishing, production in fish hatcheries and fish farms; services a            Fisheries, fish farming and services related to fishing
   10     10       80                    Extraction of coal and lignite; peat extraction                                  Coal, lignite and peat extraction
   11     11     1471  Extraction of crude petroleum and natural gas; related services a  Crude oil and natural gas extraction, and related service activit
   12     12       13                         Extraction of uranium and thorium minerals                                           Uranium and torio mining
   13     13       89                                    Extraction of metallic minerals                                        Mining of metallic minerals
   14     14      765                           Extraction from other mines and quarries                              Mining of other minerals and quarries
   15     15    27595                          Manufacture of food and beverage products                                 Food and drink product manufacture
   16     16      335                                    Manufacture of tobacco products                                        Tobacco product manufacture
   17     17     9817                                    Manufacture of textile products                                        Textile product manufacture
   18     18    10457                    Clothing manufacture. Finishing and dying hides                       Clothing and furs processing and manufacture
   19     19     7258  Tanning and finishing leathers; manufacture of leather products a  Leather processing, manufacture of luggage, handbags, leatherwear
   20     20     5574                                Lumber industries, except furniture  Production of wood and manufacture of wood and cork products with
   21     21     2410                                                     Paper industry                               Paper and paper products manufacture
   22     22     4066                                 Activities of editing and printing          Editorial, printing and recording reproduction activities
   23     23     1177  Coke manufacture, products of petroleum refining and nuclear comb       Coke production, products from oil refining and nuclear fuel
   24     24     6700                    Manufacture of chemical substances and products                         Chemical and chemical products manufacture
   25     25     4434                            Manufacture of rubber and plastic goods                            Rubber and plastic products manufacture
   26     26     5531                       Manufacture of non-metallic mineral products                 Manufacture of other non-metallic mineral products
   27     27     1947                                       Manufacture of common metals                                          Common metals manufacture
   28     28    11646                 Manufacture of metallic products, except machinery  Metal products manufacture, with the exception of machinery and e
   29     29     6633                             Manufacture of machinery and equipment                Machinery and equipment products manufacture N.E.C.
   30     30      189                                    Manufacture of office machinery  Manufacture of office, accounting, and information technology equ
   31     31     2456                   Manufacture of electrical machinery and products                     Electrical equipment and appliance manufacture
   32     32      935  Manufacture of radio, TV and communications equipment and applian         Radio, television and communications equipment manufacture
   33     33      883  Manufacture of medical and precision instruments and watches (clo  Manufacture of medical instruments, precision optics and watchmak
   34     34     3761  Manufacture of vehicles, automobiles, tractor-trailers and semi-t              Manufacture of automobiles, trailers and semitrailers
   35     35     1953             Manufacture of other types of transportation equipment             Manufacture of other types of transportation equipment
   36     36    11586  Manufacture or furniture and other industries not listed elsewher             Furniture manufacture, manufacturing industries N.E.C.
   40     40     3283                   Generation and distribution of electrical energy       Electrical, gas, steam and hot water supply and distribution
   41     41     1523                 Collection, purification and distribution of water                    Water collection, purification and distribution
   42     40      793              Manufacture of gas; distribution of gas via pipelines       Electrical, gas, steam and hot water supply and distribution
   45     45    53275                                                       Construction                                                       Construction
   50     50     3475  Sale, maintenance and repair of vehicles and motorcycles; retail   Sales, maintenance and repair of automobiles and motorcycles, ret
   51     51    95620  Wholesale and retail and commission sales, except vehicles, autom  Wholesale sales and sales by commission, excluding automobile and
   55     55     2397           Hotels, camps, and other types of housing accommodations                                             Hotels and restaurants
   56     55    11583                                    Restaurants, bars, and cantinas                                             Hotels and restaurants
   60     60    26137                              Transportation via land and pipelines                     Ground transportation, pipeline transportation
   61     61      805                                       Transportation via aqueducts                                               Water transportation
   62     62      686                                                 Air transportation                                                 Air transportation
   63     63     4906                  Activities that support transportation activities  Complementary and auxiliary transportation activities, travel age
   64     64     4950                                        Mail and telecommunications                              Postal service and telecommunications
   65     65     5840                                                 Banking activities  Financial intermediary services, excluding financing of insurance
   66     66     2623                                        Insurance and pension plans  Financing of insurance and pension plans, excluding those of mand
   67     67      391                    Support activities for financial intermediation                        Activities auxiliary to financial mediation
   70     70     1615                                             Real estate activities                                             Real estate activities
   71     71      561  Rental of machinery and equipment and personal items and househol  Rental of machinery and equipment without operators and of person
   72     72     1021                                 Informatics and related activities                        Information services and related activities
   73     73      554                                           Research and development                                           Research and development
   74     74    16645                                          Other business activities                                   Other entrepreneurial activities
   75     75    55409  Pubic administration and defense; social security plans with obli  Public administration and defense, social security/insurance plan
   80     80    38532                                                          Education                                                          Education
   85     85    27556                                Social services and health services                       Social services and health sector activities
